factor_date,factor_name,hold_start,hold_end,top_return,bottom_return,long_short_return
2005-03-31,magic_formula,2005-04-04,2005-04-29,-0.03505869924848296,-0.044362317389871016,0.009303618141388054
2005-03-31,pe,2005-04-04,2005-04-29,-0.030066496540858897,-0.041233577282437886,0.011167080741578989
2005-03-31,composite_value,2005-04-04,2005-04-29,-0.031158823431372742,-0.045911909084126845,0.014753085652754103
2005-03-31,composite_strength,2005-04-04,2005-04-29,-0.03940743202973219,-0.035900061009444685,-0.003507371020287503
2005-03-31,composite_momentum,2005-04-04,2005-04-29,-0.029425419500573032,-0.05829887297888718,0.02887345347831415
2005-03-31,fama_french_5_factor,2005-04-04,2005-04-29,-0.03881484777160555,-0.037187332270966954,-0.001627515500638596
2005-02-28,magic_formula,2005-03-02,2005-03-31,-0.022750901782789445,-0.03832171545751061,0.015570813674721167
2005-02-28,composite_value,2005-03-02,2005-03-31,-0.026541792409854863,-0.03520977311921046,0.008667980709355597
2005-02-28,pe,2005-03-02,2005-03-31,-0.025491765454437595,-0.031081651357207616,0.005589885902770021
2005-02-28,composite_strength,2005-03-02,2005-03-31,-0.0318452181580823,-0.03607734266549959,0.0042321245074172925
2005-02-28,composite_momentum,2005-03-02,2005-03-31,-0.026907240667766563,-0.03776423475371849,0.010856994085951928
2005-02-28,fama_french_5_factor,2005-03-02,2005-03-31,-0.031765193323674196,-0.036541425909440206,0.00477623258576601
2005-01-31,magic_formula,2005-02-02,2005-02-28,0.013806095455489267,0.020953825822138554,-0.007147730366649287
2005-01-31,composite_value,2005-02-02,2005-02-28,0.014026633804099062,0.01729352561202817,-0.0032668918079291065
2005-01-31,pe,2005-02-02,2005-02-28,0.014617793383037316,0.014996278223432856,-0.00037848484039553973
2005-01-31,composite_strength,2005-02-02,2005-02-28,0.014190970946508277,0.017533639059695287,-0.00334266811318701
2005-01-31,composite_momentum,2005-02-02,2005-02-28,0.007549087490623742,0.0401337703419948,-0.03258468285137106
2005-01-31,fama_french_5_factor,2005-02-02,2005-02-28,0.01458305730421195,0.019731459006733253,-0.005148401702521302
2005-06-30,magic_formula,2005-07-04,2005-07-29,0.0628054120841899,0.06053932684748066,0.0022660852367092366
2005-06-30,composite_value,2005-07-04,2005-07-29,0.06613608918346209,0.06708508030458203,-0.0009489911211199437
2005-06-30,pe,2005-07-04,2005-07-29,0.060515487840706914,0.0646969132216929,-0.004181425380985981
2005-06-30,composite_growth,2005-07-04,2005-07-29,0.05951328934824584,0.06667846828381392,-0.0071651789355680826
2005-06-30,composite_strength,2005-07-04,2005-07-29,0.07240634297249526,0.05750791598223545,0.014898426990259811
2005-06-30,composite_momentum,2005-07-04,2005-07-29,0.07195955248095673,0.07870665582327048,-0.006747103342313751
2005-06-30,fama_french_5_factor,2005-07-04,2005-07-29,0.07739946422567762,0.056443584047382,0.020955880178295617
2005-06-30,weighted_composite,2005-07-04,2005-07-29,0.07763211988549812,0.07666270579306474,0.0009694140924333822
2005-05-31,composite_value,2005-06-02,2005-06-30,0.011406591806012605,0.01897211478169585,-0.007565522975683244
2005-05-31,weighted_composite,2005-06-02,2005-06-30,0.02258474076938895,0.02180699817141724,0.0007777425979717117
